anio,posicion,jugador,goles,partidos,promedio_gol,seleccion
2010,1,Diego Forlan,5,7,0.71,Uruguay
2010,1,Thomas Muller,5,6,0.83,Alemania
2010,1,Wesley Sneijder,5,7,0.71,Paises Bajos
2010,1,David Villa,5,7,0.71,Espana
2010,5,Gonzalo Higuain,4,4,1.0,Argentina
2010,5,Miroslav Klose,4,5,0.8,Alemania
2010,5,Robert Vittek,4,4,1.0,Eslovaquia
2010,8,Landon Donovan,3,4,0.75,Estados Unidos
2010,8,Asamoah Gyan,3,5,0.6,Ghana
2010,8,Luis Fabiano,3,5,0.6,Brasil
2010,8,Luis Suarez,3,6,0.5,Uruguay
2010,12,Elano,2,2,1.0,Brasil
2010,12,Samuel Eto'o,2,3,0.67,Camerun
2010,12,Javier Hernandez,2,4,0.5,Mexico
2010,12,Brett Holman,2,3,0.67,Australia
2010,12,Keisuke Honda,2,4,0.5,Japon
2010,12,Andres Iniesta,2,6,0.33,Espana
2010,12,Chung-yong Lee,2,4,0.5,Corea del Sur
2010,12,Jung Soo Lee,2,4,0.5,Corea del Sur
2010,12,Lukas Podolski,2,6,0.33,Alemania
2010,12,Arjen Robben,2,5,0.4,Paises Bajos
2010,12,Robinho,2,4,0.5,Brasil
2010,12,Carlos Tevez,2,4,0.5,Argentina
2010,12,Tiago,2,4,0.5,Portugal
2010,12,Kalu Uche,2,3,0.67,Nigeria
2010,26,Yakubu Aiyegbeni,1,3,0.33,Nigeria
2010,26,Antolin Alcaraz,1,4,0.25,Paraguay
2010,26,Hugo Almeida,1,2,0.5,Portugal
2010,26,Jean Beausejour,1,4,0.25,Chile
2010,26,Nicklas Bendtner,1,3,0.33,Dinamarca
2010,26,Valter Birsa,1,3,0.33,Eslovenia
2010,26,Cuauhtemoc Blanco,1,3,0.33,Mexico
2010,26,Kevin Prince Boateng,1,5,0.2,Ghana
2010,26,Michael Bradley,1,4,0.25,Estados Unidos
2010,26,Cacau,1,4,0.25,Alemania
2010,26,Tim Cahill,1,2,0.5,Australia
2010,26,Edinson Cavani,1,6,0.17,Uruguay
2010,26,Daniele De Rossi,1,3,0.33,Italia
2010,26,Jermain Defoe,1,3,0.33,Inglaterra
2010,26,Martin Demichelis,1,5,0.2,Argentina
2010,26,Clint Dempsey,1,4,0.25,Estados Unidos
2010,26,Antonio Di Natale,1,3,0.33,Italia
2010,26,Didier Drogba,1,3,0.33,Costa de Marfil
2010,26,Yasuhito Endo,1,4,0.25,Japon
2010,26,Gelson Fernandes,1,3,0.33,Suiza
2010,26,Arne Friedrich,1,7,0.14,Alemania
2010,26,Steven Gerrard,1,4,0.25,Inglaterra
2010,26,Mark Gonzalez,1,4,0.25,Chile
2010,26,Gabriel Heinze,1,4,0.25,Argentina
2010,26,Klaas Jan Huntelaar,1,4,0.25,Paises Bajos
2010,26,Vincenzo Iaquinta,1,3,0.33,Italia
2010,26,Marcell Jansen,1,4,0.25,Alemania
2010,26,Yun Nam Ji,1,3,0.33,Corea del Norte
2010,26,Milan Jovanovic,1,3,0.33,Serbia
2010,26,Juan,1,5,0.2,Brasil
2010,26,Salomon Kalou,1,3,0.33,Costa de Marfil
2010,26,Sami Khedira,1,7,0.14,Alemania
2010,26,Bongani Khumalo,1,3,0.33,Sudafrica
2010,26,Kamil Kopunek,1,2,0.5,Eslovaquia
2010,26,Robert Koren,1,3,0.33,Eslovenia
2010,26,Dirk Kuyt,1,7,0.14,Paises Bajos
2010,26,Liedson,1,3,0.33,Portugal
2010,26,Zlatan Ljubijankic,1,3,0.33,Eslovenia
2010,26,Maicon,1,5,0.2,Brasil
2010,26,Florent Malouda,1,3,0.33,Francia
2010,26,Rafael Marquez,1,4,0.25,Mexico
2010,26,Raul Meireles,1,4,0.25,Portugal
2010,26,Rodrigo Millar,1,3,0.33,Chile
2010,26,Katlego Mphela,1,3,0.33,Sudafrica
2010,26,Sulley Muntari,1,4,0.25,Ghana
2010,26,Shinji Okazaki,1,4,0.25,Japon
2010,26,Mesut Ozil,1,7,0.14,Alemania
2010,26,Martin Palermo,1,1,1.0,Argentina
2010,26,Marko Pantelic,1,2,0.5,Serbia
2010,26,Ji Sung Park,1,4,0.25,Corea del Sur
2010,26,Chu Young Park,1,4,0.25,Corea del Sur
2010,26,Alvaro Pereira,1,5,0.2,Uruguay
2010,26,Maximiliano Pereira,1,7,0.14,Uruguay
2010,26,Carles Puyol,1,7,0.14,Espana
2010,26,Fabio Quagliarella,1,1,1.0,Italia
2010,26,Winston Reid,1,3,0.33,Nueva Zelanda
2010,26,Cristian Riveros,1,5,0.2,Paraguay
2010,26,Romaric,1,3,0.33,Costa de Marfil
2010,26,Dennis Rommedahl,1,3,0.33,Dinamarca
2010,26,Cristiano Ronaldo,1,4,0.25,Portugal
2010,26,Dimitrios Salpingidis,1,2,0.5,Grecia
2010,26,Simao,1,4,0.25,Portugal
2010,26,Shane Smeltz,1,3,0.33,Nueva Zelanda
2010,26,Jon Dahl Tomasson,1,2,0.5,Dinamarca
2010,26,Vasileios Torosidis,1,3,0.33,Grecia
2010,26,Yaya Toure,1,3,0.33,Costa de Marfil
2010,26,Siphiwe Tshabalala,1,3,0.33,Sudafrica
2010,26,Matt Upson,1,2,0.5,Inglaterra
2010,26,Giovanni Van Bronckhorst,1,7,0.14,Paises Bajos
2010,26,Robin Van Persie,1,7,0.14,Paises Bajos
2010,26,Enrique Vera,1,5,0.2,Paraguay
