anio,premio,categoria,ganador
2010,Balon,Oro,Diego Forlan
2010,Balon,Plata,Wesley Sneijder
2010,Balon,Bronce,David Villa
2010,Botin,Oro,Thomas Muller
2010,Botin,Plata,David Villa
2010,Botin,Bronce,Wesley Sneijder
2010,Guante,Oro,Iker Casillas
2010,Mejor Jugador Joven,,Thomas Muller
2010,FIFA Fair Play,,Espana
