anio,fase,grupo,seleccion
1982,1ra Ronda,A,Camerun
1982,1ra Ronda,A,Italia
1982,1ra Ronda,A,Peru
1982,1ra Ronda,A,Polonia
1982,1ra Ronda,B,Alemania Occidental
1982,1ra Ronda,B,Argelia
1982,1ra Ronda,B,Austria
1982,1ra Ronda,B,Chile
1982,1ra Ronda,C,Argentina
1982,1ra Ronda,C,Belgica
1982,1ra Ronda,C,El Salvador
1982,1ra Ronda,C,Hungria
1982,1ra Ronda,D,Checoslovaquia
1982,1ra Ronda,D,Francia
1982,1ra Ronda,D,Inglaterra
1982,1ra Ronda,D,Kuwait
1982,1ra Ronda,E,Espana
1982,1ra Ronda,E,Honduras
1982,1ra Ronda,E,Irlanda del Norte
1982,1ra Ronda,E,Yugoslavia
1982,1ra Ronda,F,Brasil
1982,1ra Ronda,F,Escocia
1982,1ra Ronda,F,Nueva Zelanda
1982,1ra Ronda,F,URSS
1982,2da Ronda,1,Belgica
1982,2da Ronda,1,Polonia
1982,2da Ronda,1,URSS
1982,2da Ronda,2,Alemania Occidental
1982,2da Ronda,2,Espana
1982,2da Ronda,2,Inglaterra
1982,2da Ronda,3,Argentina
1982,2da Ronda,3,Brasil
1982,2da Ronda,3,Italia
1982,2da Ronda,4,Austria
1982,2da Ronda,4,Francia
1982,2da Ronda,4,Irlanda del Norte
