anio,numero_partido,fecha,fase,grupo,seleccion_local,goles_local,goles_visita,seleccion_visita
1982,1,13-Jun-1982,1ra Ronda,C,Argentina,0,1,Belgica
1982,2,14-Jun-1982,1ra Ronda,F,Brasil,2,1,URSS
1982,3,14-Jun-1982,1ra Ronda,A,Italia,0,0,Polonia
1982,4,15-Jun-1982,1ra Ronda,A,Peru,0,0,Camerun
1982,5,15-Jun-1982,1ra Ronda,F,Escocia,5,2,Nueva Zelanda
1982,6,15-Jun-1982,1ra Ronda,C,Hungria,10,1,El Salvador
1982,7,16-Jun-1982,1ra Ronda,B,Alemania Occidental,1,2,Argelia
1982,8,16-Jun-1982,1ra Ronda,E,Espana,1,1,Honduras
1982,9,16-Jun-1982,1ra Ronda,D,Inglaterra,3,1,Francia
1982,10,17-Jun-1982,1ra Ronda,D,Checoslovaquia,1,1,Kuwait
1982,11,17-Jun-1982,1ra Ronda,E,Yugoslavia,0,0,Irlanda del Norte
1982,12,17-Jun-1982,1ra Ronda,B,Chile,0,1,Austria
1982,13,18-Jun-1982,1ra Ronda,C,Argentina,4,1,Hungria
1982,14,18-Jun-1982,1ra Ronda,A,Italia,1,1,Peru
1982,15,18-Jun-1982,1ra Ronda,F,Brasil,4,1,Escocia
1982,16,19-Jun-1982,1ra Ronda,A,Polonia,0,0,Camerun
1982,17,19-Jun-1982,1ra Ronda,C,Belgica,1,0,El Salvador
1982,18,19-Jun-1982,1ra Ronda,F,URSS,3,0,Nueva Zelanda
1982,19,20-Jun-1982,1ra Ronda,E,Espana,2,1,Yugoslavia
1982,20,20-Jun-1982,1ra Ronda,D,Inglaterra,2,0,Checoslovaquia
1982,21,20-Jun-1982,1ra Ronda,B,Alemania Occidental,4,1,Chile
1982,22,21-Jun-1982,1ra Ronda,E,Honduras,1,1,Irlanda del Norte
1982,23,21-Jun-1982,1ra Ronda,D,Francia,4,1,Kuwait
1982,24,21-Jun-1982,1ra Ronda,B,Argelia,0,2,Austria
1982,25,22-Jun-1982,1ra Ronda,F,URSS,2,2,Escocia
1982,26,22-Jun-1982,1ra Ronda,C,Belgica,1,1,Hungria
1982,27,22-Jun-1982,1ra Ronda,A,Polonia,5,1,Peru
1982,28,23-Jun-1982,1ra Ronda,A,Italia,1,1,Camerun
1982,29,23-Jun-1982,1ra Ronda,C,Argentina,2,0,El Salvador
1982,30,23-Jun-1982,1ra Ronda,F,Brasil,4,0,Nueva Zelanda
1982,31,24-Jun-1982,1ra Ronda,E,Honduras,0,1,Yugoslavia
1982,32,24-Jun-1982,1ra Ronda,D,Francia,1,1,Checoslovaquia
1982,33,24-Jun-1982,1ra Ronda,B,Argelia,3,2,Chile
1982,34,25-Jun-1982,1ra Ronda,E,Irlanda del Norte,1,0,Espana
1982,35,25-Jun-1982,1ra Ronda,B,Alemania Occidental,1,0,Austria
1982,36,25-Jun-1982,1ra Ronda,D,Inglaterra,1,0,Kuwait
1982,37,28-Jun-1982,2da Ronda,4,Austria,0,1,Francia
1982,38,28-Jun-1982,2da Ronda,1,Polonia,3,0,Belgica
1982,39,29-Jun-1982,2da Ronda,2,Alemania Occidental,0,0,Inglaterra
1982,40,29-Jun-1982,2da Ronda,3,Italia,2,1,Argentina
1982,41,01-Jul-1982,2da Ronda,1,Belgica,0,1,URSS
1982,42,01-Jul-1982,2da Ronda,4,Austria,2,2,Irlanda del Norte
1982,43,02-Jul-1982,2da Ronda,3,Argentina,1,3,Brasil
1982,44,02-Jul-1982,2da Ronda,2,Alemania Occidental,2,1,Espana
1982,45,04-Jul-1982,2da Ronda,4,Francia,4,1,Irlanda del Norte
1982,46,04-Jul-1982,2da Ronda,1,Polonia,0,0,URSS
1982,47,05-Jul-1982,2da Ronda,3,Italia,3,2,Brasil
1982,48,05-Jul-1982,2da Ronda,2,Espana,0,0,Inglaterra
1982,49,08-Jul-1982,Semis,,Alemania Occidental,3,3,Francia
1982,50,08-Jul-1982,Semis,,Polonia,0,2,Italia
1982,51,10-Jul-1982,3er Puesto,,Polonia,3,2,Francia
1982,52,11-Jul-1982,Final,,Italia,3,1,Alemania Occidental
