anio,posicion,jugador,goles,partidos,promedio_gol,seleccion
2014,1,James Rodriguez,6,5,1.2,Colombia
2014,2,Thomas Muller,5,7,0.71,Alemania
2014,3,Lionel Messi,4,7,0.57,Argentina
2014,3,Neymar Jr.,4,5,0.8,Brasil
2014,3,Robin Van Persie,4,6,0.67,Paises Bajos
2014,6,Karim Benzema,3,5,0.6,Francia
2014,6,Arjen Robben,3,7,0.43,Paises Bajos
2014,6,Andre Schurrle,3,6,0.5,Alemania
2014,6,Xherdan Shaqiri,3,4,0.75,Suiza
2014,6,Enner Valencia,3,3,1.0,Ecuador
2014,11,Andre Ayew,2,3,0.67,Ghana
2014,11,Wilfried Bony,2,3,0.67,Costa de Marfil
2014,11,Tim Cahill,2,2,1.0,Australia
2014,11,David Luiz,2,7,0.29,Brasil
2014,11,Clint Dempsey,2,4,0.5,Estados Unidos
2014,11,Memphis Depay,2,4,0.5,Paises Bajos
2014,11,Abdelmoumene Djabou,2,3,0.67,Argelia
2014,11,Gervinho,2,3,0.67,Costa de Marfil
2014,11,Mario Götze,2,6,0.33,Alemania
2014,11,Asamoah Gyan,2,3,0.67,Ghana
2014,11,Mats Hummels,2,6,0.33,Alemania
2014,11,Miroslav Klose,2,5,0.4,Alemania
2014,11,Toni Kroos,2,7,0.29,Alemania
2014,11,Mario Mandzukic,2,2,1.0,Croacia
2014,11,Jackson Martinez,2,3,0.67,Colombia
2014,11,Ahmed Musa,2,4,0.5,Nigeria
2014,11,Oscar,2,7,0.29,Brasil
2014,11,Ivan Perisic,2,3,0.67,Croacia
2014,11,Bryan Ruiz,2,5,0.4,Costa Rica
2014,11,Alexis Sanchez,2,4,0.5,Chile
2014,11,Islam Slimani,2,4,0.5,Argelia
2014,11,Luis Suarez,2,2,1.0,Uruguay
2014,33,Xabi Alonso,1,3,0.33,Espana
2014,33,Charles Aranguiz,1,4,0.25,Chile
2014,33,Pablo Armero,1,5,0.2,Colombia
2014,33,Mario Balotelli,1,3,0.33,Italia
2014,33,Jean Beausejour,1,2,0.5,Chile
2014,33,Daley Blind,1,7,0.14,Paises Bajos
2014,33,Yacine Brahimi,1,3,0.33,Argelia
2014,33,John Anthony Brooks,1,1,1.0,Estados Unidos
2014,33,Joel Campbell,1,5,0.2,Costa Rica
2014,33,Edinson Cavani,1,4,0.25,Uruguay
2014,33,Carlo Costly,1,3,0.33,Honduras
2014,33,Juan Guillermo Cuadrado,1,5,0.2,Colombia
2014,33,Kevin De Bruyne,1,4,0.25,Belgica
2014,33,Stefan de Vrij,1,7,0.14,Paises Bajos
2014,33,Angel Di Maria,1,5,0.2,Argentina
2014,33,Giovani dos Santos,1,4,0.25,Mexico
2014,33,Oscar Duarte,1,4,0.25,Costa Rica
2014,33,Edin Dzeko,1,3,0.33,Bosnia-Herzegovina
2014,33,Blerim Dzemaili,1,3,0.33,Suiza
2014,33,Sofiane Feghouli,1,4,0.25,Argelia
2014,33,Marouane Fellaini,1,5,0.2,Belgica
2014,33,Leroy Fer,1,1,1.0,Paises Bajos
2014,33,Fernandinho,1,5,0.2,Brasil
2014,33,Fred,1,6,0.17,Brasil
2014,33,Reza Ghoochannejhad,1,3,0.33,Iran
2014,33,Olivier Giroud,1,5,0.2,Francia
2014,33,Diego Godin,1,4,0.25,Uruguay
2014,33,Julian Green,1,1,1.0,Estados Unidos
2014,33,Andres Guardado,1,4,0.25,Mexico
2014,33,Teofilo Gutierrez,1,4,0.25,Colombia
2014,33,Rafik Halliche,1,4,0.25,Argelia
2014,33,Javier Hernandez,1,4,0.25,Mexico
2014,33,Gonzalo Higuain,1,7,0.14,Argentina
2014,33,Keisuke Honda,1,3,0.33,Japon
2014,33,Klaas Jan Huntelaar,1,3,0.33,Paises Bajos
2014,33,Vedad Ibisevic,1,3,0.33,Bosnia-Herzegovina
2014,33,Mile Jedinak,1,3,0.33,Australia
2014,33,Jermaine Jones,1,4,0.25,Estados Unidos
2014,33,Alexander Kerzhakov,1,3,0.33,Rusia
2014,33,Sami Khedira,1,5,0.2,Alemania
2014,33,Alexander Kokorin,1,3,0.33,Rusia
2014,33,Ja-Cheol Koo,1,3,0.33,Corea del Sur
2014,33,Keun-Ho Lee,1,3,0.33,Corea del Sur
2014,33,Romelu Lukaku,1,4,0.25,Belgica
2014,33,Claudio Marchisio,1,3,0.33,Italia
2014,33,Rafael Marquez,1,4,0.25,Mexico
2014,33,Juan Mata,1,1,1.0,Espana
2014,33,Joel Matip,1,2,0.5,Camerun
2014,33,Blaise Matuidi,1,5,0.2,Francia
2014,33,Admir Mehmedi,1,4,0.25,Suiza
2014,33,Dries Mertens,1,5,0.2,Belgica
2014,33,Nani,1,3,0.33,Portugal
2014,33,Peter Odemwingie,1,4,0.25,Nigeria
2014,33,Shinji Okazaki,1,3,0.33,Japon
2014,33,Ivica Olic,1,3,0.33,Croacia
2014,33,Divock Origi,1,5,0.2,Belgica
2014,33,Mesut Ozil,1,7,0.14,Alemania
2014,33,Sokratis Papastathopoulos,1,4,0.25,Grecia
2014,33,Oribe Peralta,1,4,0.25,Mexico
2014,33,Miralem Pjanic,1,3,0.33,Bosnia-Herzegovina
2014,33,Paul Pogba,1,5,0.2,Francia
2014,33,Juan Quintero,1,3,0.33,Colombia
2014,33,Marcos Rojo,1,6,0.17,Argentina
2014,33,Cristiano Ronaldo,1,3,0.33,Portugal
2014,33,Wayne Rooney,1,3,0.33,Inglaterra
2014,33,Georgios Samaras,1,4,0.25,Grecia
2014,33,Andreas Samaris,1,2,0.5,Grecia
2014,33,Haris Seferovic,1,4,0.25,Suiza
2014,33,Thiago Silva,1,6,0.17,Brasil
2014,33,Moussa Sissoko,1,4,0.25,Francia
2014,33,Wesley Sneijder,1,6,0.17,Paises Bajos
2014,33,Heung-Min Son,1,3,0.33,Corea del Sur
2014,33,Daniel Sturridge,1,3,0.33,Inglaterra
2014,33,Fernando Torres,1,3,0.33,Espana
2014,33,Marco Urena,1,4,0.25,Costa Rica
2014,33,Mathieu Valbuena,1,4,0.25,Francia
2014,33,Jorge Valdivia,1,3,0.33,Chile
2014,33,Silvestre Varela,1,2,0.5,Portugal
2014,33,Eduardo Vargas,1,4,0.25,Chile
2014,33,Jan Vertonghen,1,5,0.2,Belgica
2014,33,David Villa,1,1,1.0,Espana
2014,33,Avdija Vrsajevic,1,1,1.0,Bosnia-Herzegovina
2014,33,Georginio Wijnaldum,1,7,0.14,Paises Bajos
2014,33,Granit Xhaka,1,4,0.25,Suiza
