anio,numero_partido,fecha,fase,grupo,seleccion_local,goles_local,goles_visita,seleccion_visita
2014,1,12-Jun-2014,1ra Ronda,A,Brasil,3,1,Croacia
2014,2,13-Jun-2014,1ra Ronda,A,Mexico,1,0,Camerun
2014,3,13-Jun-2014,1ra Ronda,B,Espana,1,5,Paises Bajos
2014,4,13-Jun-2014,1ra Ronda,B,Chile,3,1,Australia
2014,5,14-Jun-2014,1ra Ronda,C,Colombia,3,0,Grecia
2014,6,14-Jun-2014,1ra Ronda,C,Costa de Marfil,2,1,Japon
2014,7,14-Jun-2014,1ra Ronda,D,Uruguay,1,3,Costa Rica
2014,8,14-Jun-2014,1ra Ronda,D,Inglaterra,1,2,Italia
2014,9,15-Jun-2014,1ra Ronda,E,Suiza,2,1,Ecuador
2014,10,15-Jun-2014,1ra Ronda,E,Francia,3,0,Honduras
2014,11,15-Jun-2014,1ra Ronda,F,Argentina,2,1,Bosnia-Herzegovina
2014,12,16-Jun-2014,1ra Ronda,F,Iran,0,0,Nigeria
2014,13,16-Jun-2014,1ra Ronda,G,Alemania,4,0,Portugal
2014,14,16-Jun-2014,1ra Ronda,G,Ghana,1,2,Estados Unidos
2014,15,17-Jun-2014,1ra Ronda,H,Belgica,2,1,Argelia
2014,16,17-Jun-2014,1ra Ronda,H,Rusia,1,1,Corea del Sur
2014,17,17-Jun-2014,1ra Ronda,A,Brasil,0,0,Mexico
2014,18,18-Jun-2014,1ra Ronda,A,Camerun,0,4,Croacia
2014,19,18-Jun-2014,1ra Ronda,B,Espana,0,2,Chile
2014,20,18-Jun-2014,1ra Ronda,B,Australia,2,3,Paises Bajos
2014,21,19-Jun-2014,1ra Ronda,C,Colombia,2,1,Costa de Marfil
2014,22,19-Jun-2014,1ra Ronda,C,Japon,0,0,Grecia
2014,23,19-Jun-2014,1ra Ronda,D,Uruguay,2,1,Inglaterra
2014,24,20-Jun-2014,1ra Ronda,D,Italia,0,1,Costa Rica
2014,25,20-Jun-2014,1ra Ronda,E,Suiza,2,5,Francia
2014,26,20-Jun-2014,1ra Ronda,E,Honduras,1,2,Ecuador
2014,27,21-Jun-2014,1ra Ronda,F,Argentina,1,0,Iran
2014,28,21-Jun-2014,1ra Ronda,F,Nigeria,1,0,Bosnia-Herzegovina
2014,29,21-Jun-2014,1ra Ronda,G,Alemania,2,2,Ghana
2014,30,22-Jun-2014,1ra Ronda,G,Estados Unidos,2,2,Portugal
2014,31,22-Jun-2014,1ra Ronda,H,Belgica,1,0,Rusia
2014,32,22-Jun-2014,1ra Ronda,H,Corea del Sur,2,4,Argelia
2014,33,23-Jun-2014,1ra Ronda,A,Camerun,1,4,Brasil
2014,34,23-Jun-2014,1ra Ronda,A,Croacia,1,3,Mexico
2014,35,23-Jun-2014,1ra Ronda,B,Australia,0,3,Espana
2014,36,23-Jun-2014,1ra Ronda,B,Paises Bajos,2,0,Chile
2014,37,24-Jun-2014,1ra Ronda,C,Japon,1,4,Colombia
2014,38,24-Jun-2014,1ra Ronda,C,Grecia,2,1,Costa de Marfil
2014,39,24-Jun-2014,1ra Ronda,D,Italia,0,1,Uruguay
2014,40,24-Jun-2014,1ra Ronda,D,Costa Rica,0,0,Inglaterra
2014,41,25-Jun-2014,1ra Ronda,E,Honduras,0,3,Suiza
2014,42,25-Jun-2014,1ra Ronda,E,Ecuador,0,0,Francia
2014,43,25-Jun-2014,1ra Ronda,F,Nigeria,2,3,Argentina
2014,44,25-Jun-2014,1ra Ronda,F,Bosnia-Herzegovina,3,1,Iran
2014,45,26-Jun-2014,1ra Ronda,G,Estados Unidos,0,1,Alemania
2014,46,26-Jun-2014,1ra Ronda,G,Portugal,2,1,Ghana
2014,47,26-Jun-2014,1ra Ronda,H,Corea del Sur,0,1,Belgica
2014,48,26-Jun-2014,1ra Ronda,H,Argelia,1,1,Rusia
2014,49,28-Jun-2014,Octavos,,Brasil,1,1,Chile
2014,50,28-Jun-2014,Octavos,,Colombia,2,0,Uruguay
2014,51,29-Jun-2014,Octavos,,Paises Bajos,2,1,Mexico
2014,52,29-Jun-2014,Octavos,,Costa Rica,1,1,Grecia
2014,53,30-Jun-2014,Octavos,,Francia,2,0,Nigeria
2014,54,30-Jun-2014,Octavos,,Alemania,2,1,Argelia
2014,55,01-Jul-2014,Octavos,,Argentina,1,0,Suiza
2014,56,01-Jul-2014,Octavos,,Belgica,2,1,Estados Unidos
2014,57,04-Jul-2014,Cuartos,,Brasil,2,1,Colombia
2014,58,04-Jul-2014,Cuartos,,Francia,0,1,Alemania
2014,59,05-Jul-2014,Cuartos,,Paises Bajos,0,0,Costa Rica
2014,60,05-Jul-2014,Cuartos,,Argentina,1,0,Belgica
2014,61,08-Jul-2014,Semis,,Brasil,1,7,Alemania
2014,62,09-Jul-2014,Semis,,Paises Bajos,0,0,Argentina
2014,63,12-Jul-2014,3er Puesto,,Brasil,0,3,Paises Bajos
2014,64,13-Jul-2014,Final,,Alemania,1,0,Argentina
