anio,premio,categoria,ganador
2014,Balon,Oro,Lionel Messi
2014,Balon,Plata,Thomas Muller
2014,Balon,Bronce,Arjen Robben
2014,Botin,Oro,James Rodriguez
2014,Botin,Plata,Thomas Muller
2014,Botin,Bronce,Neymar Jr.
2014,Guante,Oro,Manuel Neuer
2014,Mejor Jugador Joven,,Paul Pogba
2014,FIFA Fair Play,,Colombia
