anio,premio,categoria,ganador
1998,Equipo Ideal,Arquero,Fabien Barthez
1998,Equipo Ideal,Arquero,Jose Luis Chilavert
1998,Equipo Ideal,Defensores,Frank De Boer
1998,Equipo Ideal,Defensores,Marcel Desailly
1998,Equipo Ideal,Defensores,Carlos Gamarra
1998,Equipo Ideal,Defensores,Roberto Carlos
1998,Equipo Ideal,Defensores,Lilian Thuram
1998,Equipo Ideal,Mediocampistas,Edgar Davids
1998,Equipo Ideal,Mediocampistas,Dunga
1998,Equipo Ideal,Mediocampistas,Michael Laudrup
1998,Equipo Ideal,Mediocampistas,Rivaldo
1998,Equipo Ideal,Mediocampistas,Zinedine Zidane
1998,Equipo Ideal,Delanteros,Dennis Bergkamp
1998,Equipo Ideal,Delanteros,Brian Laudrup
1998,Equipo Ideal,Delanteros,Ronaldo
1998,Equipo Ideal,Delanteros,Davor Suker
