anio,premio,categoria,ganador
1986,Equipo Ideal,Arquero,Jean-Marie Pfaff
1986,Equipo Ideal,Defensores,Manuel Amoros
1986,Equipo Ideal,Defensores,Josimar
1986,Equipo Ideal,Defensores,Julio Cesar
1986,Equipo Ideal,Mediocampistas,Jan Ceulemans
1986,Equipo Ideal,Mediocampistas,Diego Maradona
1986,Equipo Ideal,Mediocampistas,Michel Platini
1986,Equipo Ideal,Mediocampistas,Jean Tigana
1986,Equipo Ideal,Delanteros,Emilio Butragueno
1986,Equipo Ideal,Delanteros,Preben Elkjaer Larsen
1986,Equipo Ideal,Delanteros,Gary Lineker
