anio,numero_partido,fecha,fase,grupo,seleccion_local,goles_local,goles_visita,seleccion_visita
1986,1,31-May-1986,1ra Ronda,A,Bulgaria,1,1,Italia
1986,2,01-Jun-1986,1ra Ronda,D,Espana,0,1,Brasil
1986,3,01-Jun-1986,1ra Ronda,C,Canada,0,1,Francia
1986,4,02-Jun-1986,1ra Ronda,A,Argentina,3,1,Corea del Sur
1986,5,02-Jun-1986,1ra Ronda,C,URSS,6,0,Hungria
1986,6,02-Jun-1986,1ra Ronda,F,Marruecos,0,0,Polonia
1986,7,03-Jun-1986,1ra Ronda,B,Belgica,1,2,Mexico
1986,8,03-Jun-1986,1ra Ronda,F,Portugal,1,0,Inglaterra
1986,9,03-Jun-1986,1ra Ronda,D,Argelia,1,1,Irlanda del Norte
1986,10,04-Jun-1986,1ra Ronda,E,Escocia,0,1,Dinamarca
1986,11,04-Jun-1986,1ra Ronda,E,Uruguay,1,1,Alemania Occidental
1986,12,04-Jun-1986,1ra Ronda,B,Paraguay,1,0,Iraq
1986,13,05-Jun-1986,1ra Ronda,C,Francia,1,1,URSS
1986,14,05-Jun-1986,1ra Ronda,A,Corea del Sur,1,1,Bulgaria
1986,15,05-Jun-1986,1ra Ronda,A,Italia,1,1,Argentina
1986,16,06-Jun-1986,1ra Ronda,C,Hungria,2,0,Canada
1986,17,06-Jun-1986,1ra Ronda,D,Brasil,1,0,Argelia
1986,18,06-Jun-1986,1ra Ronda,F,Inglaterra,0,0,Marruecos
1986,19,07-Jun-1986,1ra Ronda,B,Mexico,1,1,Paraguay
1986,20,07-Jun-1986,1ra Ronda,F,Polonia,1,0,Portugal
1986,21,07-Jun-1986,1ra Ronda,D,Irlanda del Norte,1,2,Espana
1986,22,08-Jun-1986,1ra Ronda,B,Iraq,1,2,Belgica
1986,23,08-Jun-1986,1ra Ronda,E,Alemania Occidental,2,1,Escocia
1986,24,08-Jun-1986,1ra Ronda,E,Dinamarca,6,1,Uruguay
1986,25,09-Jun-1986,1ra Ronda,C,URSS,2,0,Canada
1986,26,09-Jun-1986,1ra Ronda,C,Hungria,0,3,Francia
1986,27,10-Jun-1986,1ra Ronda,A,Corea del Sur,2,3,Italia
1986,28,10-Jun-1986,1ra Ronda,A,Argentina,2,0,Bulgaria
1986,29,11-Jun-1986,1ra Ronda,B,Paraguay,2,2,Belgica
1986,30,11-Jun-1986,1ra Ronda,F,Inglaterra,3,0,Polonia
1986,31,11-Jun-1986,1ra Ronda,F,Portugal,1,3,Marruecos
1986,32,11-Jun-1986,1ra Ronda,B,Iraq,0,1,Mexico
1986,33,12-Jun-1986,1ra Ronda,D,Irlanda del Norte,0,3,Brasil
1986,34,12-Jun-1986,1ra Ronda,D,Argelia,0,3,Espana
1986,35,13-Jun-1986,1ra Ronda,E,Dinamarca,2,0,Alemania Occidental
1986,36,13-Jun-1986,1ra Ronda,E,Escocia,0,0,Uruguay
1986,37,15-Jun-1986,Octavos,,URSS,3,4,Belgica
1986,38,15-Jun-1986,Octavos,,Mexico,2,0,Bulgaria
1986,39,16-Jun-1986,Octavos,,Brasil,4,0,Polonia
1986,40,16-Jun-1986,Octavos,,Argentina,1,0,Uruguay
1986,41,17-Jun-1986,Octavos,,Marruecos,0,1,Alemania Occidental
1986,42,17-Jun-1986,Octavos,,Italia,0,2,Francia
1986,43,18-Jun-1986,Octavos,,Dinamarca,1,5,Espana
1986,44,18-Jun-1986,Octavos,,Inglaterra,3,0,Paraguay
1986,45,21-Jun-1986,Cuartos,,Mexico,0,0,Alemania Occidental
1986,46,21-Jun-1986,Cuartos,,Brasil,1,1,Francia
1986,47,22-Jun-1986,Cuartos,,Belgica,1,1,Espana
1986,48,22-Jun-1986,Cuartos,,Argentina,2,1,Inglaterra
1986,49,25-Jun-1986,Semis,,Argentina,2,0,Belgica
1986,50,25-Jun-1986,Semis,,Alemania Occidental,2,0,Francia
1986,51,28-Jun-1986,3er Puesto,,Belgica,2,4,Francia
1986,52,29-Jun-1986,Final,,Argentina,3,2,Alemania Occidental
