anio,fase,grupo,seleccion
1986,1ra Ronda,A,Argentina
1986,1ra Ronda,A,Bulgaria
1986,1ra Ronda,A,Corea del Sur
1986,1ra Ronda,A,Italia
1986,1ra Ronda,B,Belgica
1986,1ra Ronda,B,Iraq
1986,1ra Ronda,B,Mexico
1986,1ra Ronda,B,Paraguay
1986,1ra Ronda,C,Canada
1986,1ra Ronda,C,Francia
1986,1ra Ronda,C,Hungria
1986,1ra Ronda,C,URSS
1986,1ra Ronda,D,Argelia
1986,1ra Ronda,D,Brasil
1986,1ra Ronda,D,Espana
1986,1ra Ronda,D,Irlanda del Norte
1986,1ra Ronda,E,Alemania Occidental
1986,1ra Ronda,E,Dinamarca
1986,1ra Ronda,E,Escocia
1986,1ra Ronda,E,Uruguay
1986,1ra Ronda,F,Inglaterra
1986,1ra Ronda,F,Marruecos
1986,1ra Ronda,F,Polonia
1986,1ra Ronda,F,Portugal
