anio,posicion,jugador,goles,partidos,promedio_gol,seleccion
1986,1,Gary Lineker,6,5,1.2,Inglaterra
1986,2,Emilio Butragueno,5,5,1.0,Espana
1986,2,Careca,5,5,1.0,Brasil
1986,2,Diego Maradona,5,7,0.71,Argentina
1986,5,Alessandro Altobelli,4,4,1.0,Italia
1986,5,Igor Belanov,4,4,1.0,URSS
1986,5,Preben Elkjaer Larsen,4,4,1.0,Dinamarca
1986,5,Jorge Valdano,4,7,0.57,Argentina
1986,9,Jan Ceulemans,3,7,0.43,Belgica
1986,9,Nico Claesen,3,7,0.43,Belgica
1986,9,Jesper Olsen,3,4,0.75,Dinamarca
1986,9,Rudi Voeller,3,6,0.5,Alemania Occidental
1986,13,Klaus Allofs,2,7,0.29,Alemania Occidental
1986,13,Jorge Burruchaga,2,7,0.29,Argentina
1986,13,Roberto Cabanas,2,4,0.5,Paraguay
1986,13,Ramon Maria Caldere,2,4,0.5,Espana
1986,13,Josimar,2,3,0.67,Brasil
1986,13,Abdelrazzak Khairi,2,4,0.5,Marruecos
1986,13,Jean-Pierre Papin,2,4,0.5,Francia
1986,13,Michel Platini,2,6,0.33,Francia
1986,13,Fernando Quirarte,2,5,0.4,Mexico
1986,13,Julio Cesar Romero,2,4,0.5,Paraguay
1986,13,Enzo Scifo,2,7,0.29,Belgica
1986,13,Socrates,2,5,0.4,Brasil
1986,13,Yannick Stopyra,2,6,0.33,Francia
1986,26,Sergei Aleinikov,1,4,0.25,URSS
1986,26,Antonio Alzamendi,1,3,0.33,Uruguay
1986,26,Manuel Amoros,1,7,0.14,Francia
1986,26,Peter Beardsley,1,4,0.25,Inglaterra
1986,26,Oleg Blokhin,1,2,0.5,URSS
1986,26,Andreas Brehme,1,5,0.2,Alemania Occidental
1986,26,Jose Brown,1,7,0.14,Argentina
1986,26,Carlos Manuel,1,3,0.33,Portugal
1986,26,Soon Ho Choi,1,2,0.5,Corea del Sur
1986,26,Colin Clarke,1,3,0.33,Irlanda del Norte
1986,26,Stephane Demol,1,7,0.14,Belgica
1986,26,Lajos Detari,1,3,0.33,Hungria
1986,26,Diamantino,1,3,0.33,Portugal
1986,26,Edinho,1,5,0.2,Brasil
1986,26,Eloy,1,3,0.33,Espana
1986,26,John Eriksen,1,2,0.5,Dinamarca
1986,26,Marton Esterhazy,1,3,0.33,Hungria
1986,26,Luis Fernandez,1,6,0.17,Francia
1986,26,Jean-Marc Ferreri,1,4,0.25,Francia
1986,26,Luis Flores,1,3,0.33,Mexico
1986,26,Enzo Francescoli,1,4,0.25,Uruguay
1986,26,Bernard Genghini,1,1,1.0,Francia
1986,26,Plamen Getov,1,4,0.25,Bulgaria
1986,26,Goikoetxea,1,4,0.25,Espana
1986,26,Jung Moo Huh,1,3,0.33,Corea del Sur
1986,26,Julio Salinas,1,5,0.2,Espana
1986,26,Jong Boo Kim,1,2,0.5,Corea del Sur
1986,26,Abdelkarim Krimau,1,4,0.25,Marruecos
1986,26,Michael Laudrup,1,4,0.25,Dinamarca
1986,26,Soren Lerby,1,4,0.25,Dinamarca
1986,26,Lothar Matthaeus,1,7,0.14,Alemania Occidental
1986,26,Manuel Negrete,1,5,0.2,Mexico
1986,26,Chang Sun Park,1,3,0.33,Corea del Sur
1986,26,Pedro Pasculli,1,2,0.5,Argentina
1986,26,Ahmed Radhi,1,3,0.33,Iraq
1986,26,Vasili Rats,1,3,0.33,URSS
1986,26,Dominique Rocheteau,1,4,0.25,Francia
1986,26,Sergei Rodionov,1,4,0.25,URSS
1986,26,Oscar Ruggeri,1,7,0.14,Argentina
1986,26,Karl-Heinz Rummenigge,1,7,0.14,Alemania Occidental
1986,26,Hugo Sanchez,1,4,0.25,Mexico
1986,26,Juan Antonio Senor,1,4,0.25,Espana
1986,26,Raul Servin,1,5,0.2,Mexico
1986,26,Nasko Sirakov,1,4,0.25,Bulgaria
1986,26,Wlodimierz Smolarek,1,4,0.25,Polonia
1986,26,Gordon Strachan,1,3,0.33,Escocia
1986,26,Jean Tigana,1,7,0.14,Francia
1986,26,Erwin Vandenbergh,1,1,1.0,Belgica
1986,26,Frank Vercauteren,1,6,0.17,Belgica
1986,26,Daniel Veyt,1,5,0.2,Belgica
1986,26,Norman Whiteside,1,3,0.33,Irlanda del Norte
1986,26,Pavel Yakovenko,1,3,0.33,URSS
1986,26,Ivan Yaremchuk,1,3,0.33,URSS
1986,26,Aleksandr Zavarov,1,4,0.25,URSS
1986,26,Djamel Zidane,1,3,0.33,Argelia
