anio,premio,categoria,ganador
2002,Equipo Ideal,Arquero,Oliver Kahn
2002,Equipo Ideal,Arquero,Rustu Recber
2002,Equipo Ideal,Defensores,Sol Campbell
2002,Equipo Ideal,Defensores,Fernando Hierro
2002,Equipo Ideal,Defensores,Myung Bo Hong
2002,Equipo Ideal,Defensores,Alpay Ozalan
2002,Equipo Ideal,Defensores,Roberto Carlos
2002,Equipo Ideal,Mediocampistas,Michael Ballack
2002,Equipo Ideal,Mediocampistas,Claudio Reyna
2002,Equipo Ideal,Mediocampistas,Rivaldo
2002,Equipo Ideal,Mediocampistas,Ronaldinho
2002,Equipo Ideal,Mediocampistas,Sang Chul Yoo
2002,Equipo Ideal,Delanteros,El Hadji Diouf
2002,Equipo Ideal,Delanteros,Miroslav Klose
2002,Equipo Ideal,Delanteros,Ronaldo
2002,Equipo Ideal,Delanteros,Hasan Sas
