anio,fase,grupo,seleccion
2002,1ra Ronda,A,Dinamarca
2002,1ra Ronda,A,Francia
2002,1ra Ronda,A,Senegal
2002,1ra Ronda,A,Uruguay
2002,1ra Ronda,B,Eslovenia
2002,1ra Ronda,B,Espana
2002,1ra Ronda,B,Paraguay
2002,1ra Ronda,B,Sudafrica
2002,1ra Ronda,C,Brasil
2002,1ra Ronda,C,China
2002,1ra Ronda,C,Costa Rica
2002,1ra Ronda,C,Turquia
2002,1ra Ronda,D,Corea del Sur
2002,1ra Ronda,D,Estados Unidos
2002,1ra Ronda,D,Polonia
2002,1ra Ronda,D,Portugal
2002,1ra Ronda,E,Alemania
2002,1ra Ronda,E,Arabia Saudita
2002,1ra Ronda,E,Camerun
2002,1ra Ronda,E,Irlanda
2002,1ra Ronda,F,Argentina
2002,1ra Ronda,F,Inglaterra
2002,1ra Ronda,F,Nigeria
2002,1ra Ronda,F,Suecia
2002,1ra Ronda,G,Croacia
2002,1ra Ronda,G,Ecuador
2002,1ra Ronda,G,Italia
2002,1ra Ronda,G,Mexico
2002,1ra Ronda,H,Belgica
2002,1ra Ronda,H,Japon
2002,1ra Ronda,H,Rusia
2002,1ra Ronda,H,Tunez
