anio,numero_partido,fecha,fase,grupo,seleccion_local,goles_local,goles_visita,seleccion_visita
1950,1,24-Jun-1950,1ra Ronda,1,Brasil,4,0,Mexico
1950,2,25-Jun-1950,1ra Ronda,3,Suecia,3,2,Italia
1950,3,25-Jun-1950,1ra Ronda,1,Yugoslavia,3,0,Suiza
1950,4,25-Jun-1950,1ra Ronda,2,Inglaterra,2,0,Chile
1950,5,25-Jun-1950,1ra Ronda,2,Espana,3,1,Estados Unidos
1950,6,28-Jun-1950,1ra Ronda,1,Yugoslavia,4,1,Mexico
1950,7,28-Jun-1950,1ra Ronda,1,Brasil,2,2,Suiza
1950,8,29-Jun-1950,1ra Ronda,3,Suecia,2,2,Paraguay
1950,9,29-Jun-1950,1ra Ronda,2,Estados Unidos,1,0,Inglaterra
1950,10,29-Jun-1950,1ra Ronda,2,Espana,2,0,Chile
1950,11,01-Jul-1950,1ra Ronda,1,Brasil,2,0,Yugoslavia
1950,12,02-Jul-1950,1ra Ronda,4,Uruguay,8,0,Bolivia
1950,13,02-Jul-1950,1ra Ronda,1,Suiza,2,1,Mexico
1950,14,02-Jul-1950,1ra Ronda,2,Espana,1,0,Inglaterra
1950,15,02-Jul-1950,1ra Ronda,2,Chile,5,2,Estados Unidos
1950,16,02-Jul-1950,1ra Ronda,3,Italia,2,0,Paraguay
1950,17,09-Jul-1950,Ronda Final,final,Brasil,7,1,Suecia
1950,18,09-Jul-1950,Ronda Final,final,Uruguay,2,2,Espana
1950,19,13-Jul-1950,Ronda Final,final,Uruguay,3,2,Suecia
1950,20,13-Jul-1950,Ronda Final,final,Brasil,6,1,Espana
1950,21,16-Jul-1950,Ronda Final,final,Suecia,3,1,Espana
1950,22,16-Jul-1950,Ronda Final,final,Uruguay,2,1,Brasil
