anio,posicion,seleccion,etapa,pts,pj,pg,pe,pp,gf,gc,dif
1950,1,Uruguay,Ronda Final,7,4,3,1,0,15,5,10
1950,2,Brasil,Ronda Final,9,6,4,1,1,22,6,16
1950,3,Suecia,Ronda Final,5,5,2,1,2,11,15,-4
1950,4,Espana,Ronda Final,7,6,3,1,2,10,12,-2
1950,5,Yugoslavia,Grupos 1ra Ronda,4,3,2,0,1,7,3,4
1950,6,Suiza,Grupos 1ra Ronda,3,3,1,1,1,4,6,-2
1950,7,Italia,Grupos 1ra Ronda,2,2,1,0,1,4,3,1
1950,8,Inglaterra,Grupos 1ra Ronda,2,3,1,0,2,2,2,0
1950,9,Chile,Grupos 1ra Ronda,2,3,1,0,2,5,6,-1
1950,10,Estados Unidos,Grupos 1ra Ronda,2,3,1,0,2,4,8,-4
1950,11,Paraguay,Grupos 1ra Ronda,1,2,0,1,1,2,4,-2
1950,12,Mexico,Grupos 1ra Ronda,0,3,0,0,3,2,10,-8
1950,13,Bolivia,Grupos 1ra Ronda,0,1,0,0,1,0,8,-8
