anio,premio,categoria,ganador
1930,Equipo Ideal,Arquero,Enrique Ballestrero
1930,Equipo Ideal,Defensores,Milutin Ivkovic
1930,Equipo Ideal,Defensores,Jose Nasazzi
1930,Equipo Ideal,Mediocampistas,Jose Andrade
1930,Equipo Ideal,Mediocampistas,Alvaro Gestido
1930,Equipo Ideal,Mediocampistas,Luis Monti
1930,Equipo Ideal,Delanteros,Hector Castro
1930,Equipo Ideal,Delanteros,Pedro Cea
1930,Equipo Ideal,Delanteros,Bert Patenaude
1930,Equipo Ideal,Delanteros,Hector Scarone
1930,Equipo Ideal,Delanteros,Guillermo Stabile
