anio,premio,categoria,ganador
1978,Equipo Ideal,Arquero,Ubaldo Fillol
1978,Equipo Ideal,Defensores,Ruud Krol
1978,Equipo Ideal,Defensores,Daniel Passarella
1978,Equipo Ideal,Defensores,Alberto Tarantini
1978,Equipo Ideal,Defensores,Berti Vogts
1978,Equipo Ideal,Mediocampistas,Dirceu
1978,Equipo Ideal,Mediocampistas,Rob Rensenbrink
1978,Equipo Ideal,Delanteros,Roberto Bettega
1978,Equipo Ideal,Delanteros,Teofilo Cubillas
1978,Equipo Ideal,Delanteros,Mario Kempes
1978,Equipo Ideal,Delanteros,Paolo Rossi
