anio,premio,categoria,ganador
2006,Balon,Oro,Zinedine Zidane
2006,Balon,Plata,Fabio Cannavaro
2006,Balon,Bronce,Andrea Pirlo
2006,Botin,Oro,Miroslav Klose
2006,Botin,Plata,Hernan Crespo
2006,Botin,Bronce,Ronaldo
2006,Guante,Oro,Gianluigi Buffon
2006,Mejor Jugador Joven,,Lukas Podolski
2006,FIFA Fair Play,,Espana
