anio,premio,categoria,ganador
1938,Equipo Ideal,Arquero,Frantisek Planicka
1938,Equipo Ideal,Defensores,Domingos Da Guia
1938,Equipo Ideal,Defensores,Alfredo Foni
1938,Equipo Ideal,Defensores,Pietro Rava
1938,Equipo Ideal,Mediocampistas,Michele Andreolo
1938,Equipo Ideal,Mediocampistas,Ugo Locatelli
1938,Equipo Ideal,Delanteros,Gino Colaussi
1938,Equipo Ideal,Delanteros,Leonidas
1938,Equipo Ideal,Delanteros,Silvio Piola
1938,Equipo Ideal,Delanteros,Gyorgy Sarosi
1938,Equipo Ideal,Delanteros,Gyula Zsengeller
