anio,premio,categoria,ganador
1970,Equipo Ideal,Arquero,Ladislao Mazurkiewicz
1970,Equipo Ideal,Defensores,Atilio Ancheta
1970,Equipo Ideal,Defensores,Franz Beckenbauer
1970,Equipo Ideal,Defensores,Carlos Alberto
1970,Equipo Ideal,Defensores,Giacinto Facchetti
1970,Equipo Ideal,Mediocampistas,Bobby Charlton
1970,Equipo Ideal,Mediocampistas,Gerson
1970,Equipo Ideal,Mediocampistas,Rivelino
1970,Equipo Ideal,Delanteros,Jairzinho
1970,Equipo Ideal,Delanteros,Gerd Mueller
1970,Equipo Ideal,Delanteros,Pele
