anio,numero_partido,fecha,fase,grupo,seleccion_local,goles_local,goles_visita,seleccion_visita
1970,1,31-May-1970,1ra Ronda,1,Mexico,0,0,URSS
1970,2,02-Jun-1970,1ra Ronda,3,Inglaterra,1,0,Rumania
1970,3,02-Jun-1970,1ra Ronda,2,Uruguay,2,0,Israel
1970,4,02-Jun-1970,1ra Ronda,4,Peru,3,2,Bulgaria
1970,5,03-Jun-1970,1ra Ronda,2,Italia,1,0,Suecia
1970,6,03-Jun-1970,1ra Ronda,4,Alemania Occidental,2,1,Marruecos
1970,7,03-Jun-1970,1ra Ronda,1,Belgica,3,0,El Salvador
1970,8,03-Jun-1970,1ra Ronda,3,Brasil,4,1,Checoslovaquia
1970,9,06-Jun-1970,1ra Ronda,4,Peru,3,0,Marruecos
1970,10,06-Jun-1970,1ra Ronda,3,Rumania,2,1,Checoslovaquia
1970,11,06-Jun-1970,1ra Ronda,1,URSS,4,1,Belgica
1970,12,06-Jun-1970,1ra Ronda,2,Uruguay,0,0,Italia
1970,13,07-Jun-1970,1ra Ronda,2,Suecia,1,1,Israel
1970,14,07-Jun-1970,1ra Ronda,1,Mexico,4,0,El Salvador
1970,15,07-Jun-1970,1ra Ronda,4,Alemania Occidental,5,2,Bulgaria
1970,16,07-Jun-1970,1ra Ronda,3,Brasil,1,0,Inglaterra
1970,17,10-Jun-1970,1ra Ronda,1,URSS,2,0,El Salvador
1970,18,10-Jun-1970,1ra Ronda,2,Suecia,1,0,Uruguay
1970,19,10-Jun-1970,1ra Ronda,4,Alemania Occidental,3,1,Peru
1970,20,10-Jun-1970,1ra Ronda,3,Brasil,3,2,Rumania
1970,21,11-Jun-1970,1ra Ronda,4,Bulgaria,1,1,Marruecos
1970,22,11-Jun-1970,1ra Ronda,3,Inglaterra,1,0,Checoslovaquia
1970,23,11-Jun-1970,1ra Ronda,1,Mexico,1,0,Belgica
1970,24,11-Jun-1970,1ra Ronda,2,Italia,0,0,Israel
1970,25,14-Jun-1970,Cuartos,,Alemania Occidental,3,2,Inglaterra
1970,26,14-Jun-1970,Cuartos,,Italia,4,1,Mexico
1970,27,14-Jun-1970,Cuartos,,Uruguay,1,0,URSS
1970,28,14-Jun-1970,Cuartos,,Brasil,4,2,Peru
1970,29,17-Jun-1970,Semis,,Uruguay,1,3,Brasil
1970,30,17-Jun-1970,Semis,,Italia,4,3,Alemania Occidental
1970,31,20-Jun-1970,3er Puesto,,Uruguay,0,1,Alemania Occidental
1970,32,21-Jun-1970,Final,,Brasil,4,1,Italia
