anio,posicion,jugador,goles,partidos,promedio_gol,seleccion
1970,1,Gerd Mueller,10,6,1.67,Alemania Occidental
1970,2,Jairzinho,7,6,1.17,Brasil
1970,3,Teofilo Cubillas,5,4,1.25,Peru
1970,4,Anatoly Bishovets,4,4,1.0,URSS
1970,4,Pele,4,6,0.67,Brasil
1970,6,Gigi Riva,3,6,0.5,Italia
1970,6,Rivelino,3,5,0.6,Brasil
1970,6,Uwe Seeler,3,6,0.5,Alemania Occidental
1970,9,Roberto Boninsegna,2,6,0.33,Italia
1970,9,Florea Dumitrache,2,3,0.67,Rumania
1970,9,Alberto Gallardo,2,4,0.5,Peru
1970,9,Raoul Lambert,2,2,1.0,Belgica
1970,9,Ladislav Petras,2,3,0.67,Checoslovaquia
1970,9,Gianni Rivera,2,4,0.5,Italia
1970,9,Tostao,2,6,0.33,Brasil
1970,9,Javier Valdivia,2,4,0.5,Mexico
1970,9,Wilfried Van Moer,2,3,0.67,Belgica
1970,18,Kakhi Asatiani,1,4,0.25,URSS
1970,18,Juan Ignacio Basaguren,1,2,0.5,Mexico
1970,18,Franz Beckenbauer,1,5,0.2,Alemania Occidental
1970,18,Hristo Bonev,1,3,0.33,Bulgaria
1970,18,Tarcisio Burgnich,1,6,0.17,Italia
1970,18,Carlos Alberto,1,6,0.17,Brasil
1970,18,Roberto Challe,1,4,0.25,Peru
1970,18,Hector Chumpitaz,1,4,0.25,Peru
1970,18,Allan Clarke,1,1,1.0,Inglaterra
1970,18,Clodoaldo,1,6,0.17,Brasil
1970,18,Luis Cubilla,1,5,0.2,Uruguay
1970,18,Emerich Dembrovschi,1,3,0.33,Rumania
1970,18,Dinko Dermendzhiev,1,2,0.5,Bulgaria
1970,18,Angelo Domenghini,1,6,0.17,Italia
1970,18,Victor Esparrago,1,6,0.17,Uruguay
1970,18,Javier Fragoso,1,4,0.25,Mexico
1970,18,Gerson,1,4,0.25,Brasil
1970,18,Mahjoub Ghazouani,1,3,0.33,Marruecos
1970,18,Jose Gonzalez,1,3,0.33,Mexico
1970,18,Ove Grahn,1,2,0.5,Suecia
1970,18,Geoff Hurst,1,3,0.33,Inglaterra
1970,18,Houmane Jarir,1,2,0.5,Marruecos
1970,18,Vitali Khmelnitski,1,4,0.25,URSS
1970,18,Todor Kolev,1,2,0.5,Bulgaria
1970,18,Stan Libuda,1,5,0.2,Alemania Occidental
1970,18,Ildo Maneiro,1,6,0.17,Uruguay
1970,18,Juan Mujica,1,6,0.17,Uruguay
1970,18,Alan Mullery,1,4,0.25,Inglaterra
1970,18,Alexandru Neagu,1,3,0.33,Rumania
1970,18,Asparukh Nikodimov,1,2,0.5,Bulgaria
1970,18,Wolfgang Overath,1,6,0.17,Alemania Occidental
1970,18,Gustavo Pena,1,4,0.25,Mexico
1970,18,Martin Peters,1,4,0.25,Inglaterra
1970,18,Karl-Heinz Schnellinger,1,5,0.2,Alemania Occidental
1970,18,Mordechai Spiegler,1,3,0.33,Israel
1970,18,Tom Turesson,1,2,0.5,Suecia
1970,18,Dobromir Zhechev,1,2,0.5,Bulgaria
