anio,posicion,seleccion,etapa,pts,pj,pg,pe,pp,gf,gc,dif
1970,1,Brasil,Final,12,6,6,0,0,19,7,12
1970,2,Italia,Final,8,6,3,2,1,10,8,2
1970,3,Alemania Occidental,Partido 3er Puesto,10,6,5,0,1,17,10,7
1970,4,Uruguay,Partido 3er Puesto,5,6,2,1,3,4,5,-1
1970,5,URSS,Cuartos de Final,5,4,2,1,1,6,2,4
1970,6,Mexico,Cuartos de Final,5,4,2,1,1,6,4,2
1970,7,Peru,Cuartos de Final,4,4,2,0,2,9,9,0
1970,8,Inglaterra,Cuartos de Final,4,4,2,0,2,4,4,0
1970,9,Suecia,Grupos 1ra Ronda,3,3,1,1,1,2,2,0
1970,10,Belgica,Grupos 1ra Ronda,2,3,1,0,2,4,5,-1
1970,10,Rumania,Grupos 1ra Ronda,2,3,1,0,2,4,5,-1
1970,12,Israel,Grupos 1ra Ronda,2,3,0,2,1,1,3,-2
1970,13,Bulgaria,Grupos 1ra Ronda,1,3,0,1,2,5,9,-4
1970,14,Marruecos,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4
1970,15,Checoslovaquia,Grupos 1ra Ronda,0,3,0,0,3,2,7,-5
1970,16,El Salvador,Grupos 1ra Ronda,0,3,0,0,3,0,9,-9
