anio,fase,grupo,seleccion
2022,1ra Ronda,A,Catar
2022,1ra Ronda,A,Ecuador
2022,1ra Ronda,A,Paises Bajos
2022,1ra Ronda,A,Senegal
2022,1ra Ronda,B,Estados Unidos
2022,1ra Ronda,B,Gales
2022,1ra Ronda,B,Inglaterra
2022,1ra Ronda,B,Iran
2022,1ra Ronda,C,Arabia Saudita
2022,1ra Ronda,C,Argentina
2022,1ra Ronda,C,Mexico
2022,1ra Ronda,C,Polonia
2022,1ra Ronda,D,Australia
2022,1ra Ronda,D,Dinamarca
2022,1ra Ronda,D,Francia
2022,1ra Ronda,D,Tunez
2022,1ra Ronda,E,Alemania
2022,1ra Ronda,E,Costa Rica
2022,1ra Ronda,E,Espana
2022,1ra Ronda,E,Japon
2022,1ra Ronda,F,Belgica
2022,1ra Ronda,F,Canada
2022,1ra Ronda,F,Croacia
2022,1ra Ronda,F,Marruecos
2022,1ra Ronda,G,Brasil
2022,1ra Ronda,G,Camerun
2022,1ra Ronda,G,Serbia
2022,1ra Ronda,G,Suiza
2022,1ra Ronda,H,Corea del Sur
2022,1ra Ronda,H,Ghana
2022,1ra Ronda,H,Portugal
2022,1ra Ronda,H,Uruguay
