anio,posicion,jugador,goles,partidos,promedio_gol,seleccion
1974,1,Grzegorz Lato,7,7,1.0,Polonia
1974,2,Johan Neeskens,5,7,0.71,Paises Bajos
1974,2,Andrzej Szarmach,5,6,0.83,Polonia
1974,4,Ralf Edstrom,4,6,0.67,Suecia
1974,4,Gerd Mueller,4,7,0.57,Alemania Occidental
1974,4,Johnny Rep,4,7,0.57,Paises Bajos
1974,7,Dusan Bajevic,3,3,1.0,Yugoslavia
1974,7,Paul Breitner,3,7,0.43,Alemania Occidental
1974,7,Johan Cruyff,3,7,0.43,Paises Bajos
1974,7,Kazimierz Deyna,3,7,0.43,Polonia
1974,7,Rene Houseman,3,6,0.5,Argentina
1974,7,Rivelino,3,7,0.43,Brasil
1974,13,Jairzinho,2,7,0.29,Brasil
1974,13,Joe Jordan,2,3,0.67,Escocia
1974,13,Stanislav Karasi,2,4,0.5,Yugoslavia
1974,13,Wolfgang Overath,2,7,0.29,Alemania Occidental
1974,13,Roland Sandberg,2,6,0.33,Suecia
1974,13,Emmanuel Sanon,2,3,0.67,Haiti
1974,13,Joachim Streich,2,4,0.5,Alemania Oriental
1974,13,Ivica Surjak,2,6,0.33,Yugoslavia
1974,13,Hector Yazalde,2,3,0.67,Argentina
1974,22,Sergio Ahumada,1,3,0.33,Chile
1974,22,Pietro Anastasi,1,3,0.33,Italia
1974,22,Ruben Ayala,1,6,0.17,Argentina
1974,22,Carlos Babington,1,5,0.2,Argentina
1974,22,Romeo Benetti,1,3,0.33,Italia
1974,22,Vladislav Bogicevic,1,5,0.2,Yugoslavia
1974,22,Hristo Bonev,1,3,0.33,Bulgaria
1974,22,Rainer Bonhof,1,4,0.25,Alemania Occidental
1974,22,Miguel Brindisi,1,4,0.25,Argentina
1974,22,Fabio Capello,1,3,0.33,Italia
1974,22,Bernd Cullmann,1,3,0.33,Alemania Occidental
1974,22,Theo De Jong,1,4,0.25,Paises Bajos
1974,22,Dragan Dzajic,1,5,0.2,Yugoslavia
1974,22,Jerzy Gorgon,1,7,0.14,Polonia
1974,22,Juergen Grabowski,1,6,0.17,Alemania Occidental
1974,22,Ramon Heredia,1,6,0.17,Argentina
1974,22,Uli Hoeness,1,7,0.14,Alemania Occidental
1974,22,Martin Hoffmann,1,6,0.17,Alemania Oriental
1974,22,Josip Katalinski,1,6,0.17,Yugoslavia
1974,22,Ruud Krol,1,7,0.14,Paises Bajos
1974,22,Peter Lorimer,1,3,0.33,Escocia
1974,22,Branko Oblak,1,5,0.2,Yugoslavia
1974,22,Ricardo Pavoni,1,3,0.33,Uruguay
1974,22,Ilija Petkovic,1,5,0.2,Yugoslavia
1974,22,Rob Rensenbrink,1,6,0.17,Paises Bajos
1974,22,Gianni Rivera,1,2,0.5,Italia
1974,22,Juergen Sparwasser,1,6,0.17,Alemania Oriental
1974,22,Conny Torstensson,1,5,0.2,Suecia
1974,22,Valdomiro,1,6,0.17,Brasil
