anio,fase,grupo,seleccion
1990,1ra Ronda,A,Austria
1990,1ra Ronda,A,Checoslovaquia
1990,1ra Ronda,A,Estados Unidos
1990,1ra Ronda,A,Italia
1990,1ra Ronda,B,Argentina
1990,1ra Ronda,B,Camerun
1990,1ra Ronda,B,Rumania
1990,1ra Ronda,B,URSS
1990,1ra Ronda,C,Brasil
1990,1ra Ronda,C,Costa Rica
1990,1ra Ronda,C,Escocia
1990,1ra Ronda,C,Suecia
1990,1ra Ronda,D,Alemania Occidental
1990,1ra Ronda,D,Colombia
1990,1ra Ronda,D,Emiratos Arabes
1990,1ra Ronda,D,Yugoslavia
1990,1ra Ronda,E,Belgica
1990,1ra Ronda,E,Corea del Sur
1990,1ra Ronda,E,Espana
1990,1ra Ronda,E,Uruguay
1990,1ra Ronda,F,Egipto
1990,1ra Ronda,F,Inglaterra
1990,1ra Ronda,F,Irlanda
1990,1ra Ronda,F,Paises Bajos
