anio,numero_partido,fecha,fase,grupo,seleccion_local,goles_local,goles_visita,seleccion_visita
1990,1,08-Jun-1990,1ra Ronda,B,Argentina,0,1,Camerun
1990,2,09-Jun-1990,1ra Ronda,B,URSS,0,2,Rumania
1990,3,09-Jun-1990,1ra Ronda,A,Italia,1,0,Austria
1990,4,09-Jun-1990,1ra Ronda,D,Emiratos Arabes,0,2,Colombia
1990,5,10-Jun-1990,1ra Ronda,A,Estados Unidos,1,5,Checoslovaquia
1990,6,10-Jun-1990,1ra Ronda,C,Brasil,2,1,Suecia
1990,7,10-Jun-1990,1ra Ronda,D,Alemania Occidental,4,1,Yugoslavia
1990,8,11-Jun-1990,1ra Ronda,C,Costa Rica,1,0,Escocia
1990,9,11-Jun-1990,1ra Ronda,F,Inglaterra,1,1,Irlanda
1990,10,12-Jun-1990,1ra Ronda,E,Belgica,2,0,Corea del Sur
1990,11,12-Jun-1990,1ra Ronda,F,Paises Bajos,1,1,Egipto
1990,12,13-Jun-1990,1ra Ronda,E,Uruguay,0,0,Espana
1990,13,13-Jun-1990,1ra Ronda,B,Argentina,2,0,URSS
1990,14,14-Jun-1990,1ra Ronda,D,Yugoslavia,1,0,Colombia
1990,15,14-Jun-1990,1ra Ronda,A,Italia,1,0,Estados Unidos
1990,16,14-Jun-1990,1ra Ronda,B,Camerun,2,1,Rumania
1990,17,15-Jun-1990,1ra Ronda,A,Austria,0,1,Checoslovaquia
1990,18,15-Jun-1990,1ra Ronda,D,Alemania Occidental,5,1,Emiratos Arabes
1990,19,16-Jun-1990,1ra Ronda,C,Brasil,1,0,Costa Rica
1990,20,16-Jun-1990,1ra Ronda,C,Suecia,1,2,Escocia
1990,21,16-Jun-1990,1ra Ronda,F,Inglaterra,0,0,Paises Bajos
1990,22,17-Jun-1990,1ra Ronda,F,Irlanda,0,0,Egipto
1990,23,17-Jun-1990,1ra Ronda,E,Belgica,3,1,Uruguay
1990,24,17-Jun-1990,1ra Ronda,E,Corea del Sur,1,3,Espana
1990,25,18-Jun-1990,1ra Ronda,B,Argentina,1,1,Rumania
1990,26,18-Jun-1990,1ra Ronda,B,Camerun,0,4,URSS
1990,27,19-Jun-1990,1ra Ronda,D,Alemania Occidental,1,1,Colombia
1990,28,19-Jun-1990,1ra Ronda,D,Yugoslavia,4,1,Emiratos Arabes
1990,29,19-Jun-1990,1ra Ronda,A,Italia,2,0,Checoslovaquia
1990,30,19-Jun-1990,1ra Ronda,A,Austria,2,1,Estados Unidos
1990,31,20-Jun-1990,1ra Ronda,C,Brasil,1,0,Escocia
1990,32,20-Jun-1990,1ra Ronda,C,Suecia,1,2,Costa Rica
1990,33,21-Jun-1990,1ra Ronda,E,Belgica,1,2,Espana
1990,34,21-Jun-1990,1ra Ronda,E,Corea del Sur,0,1,Uruguay
1990,35,21-Jun-1990,1ra Ronda,F,Inglaterra,1,0,Egipto
1990,36,21-Jun-1990,1ra Ronda,F,Irlanda,1,1,Paises Bajos
1990,37,23-Jun-1990,Octavos,,Camerun,2,1,Colombia
1990,38,23-Jun-1990,Octavos,,Checoslovaquia,4,1,Costa Rica
1990,39,24-Jun-1990,Octavos,,Brasil,0,1,Argentina
1990,40,24-Jun-1990,Octavos,,Alemania Occidental,2,1,Paises Bajos
1990,41,25-Jun-1990,Octavos,,Irlanda,0,0,Rumania
1990,42,25-Jun-1990,Octavos,,Italia,2,0,Uruguay
1990,43,26-Jun-1990,Octavos,,Espana,1,2,Yugoslavia
1990,44,26-Jun-1990,Octavos,,Inglaterra,1,0,Belgica
1990,45,30-Jun-1990,Cuartos,,Argentina,0,0,Yugoslavia
1990,46,30-Jun-1990,Cuartos,,Italia,1,0,Irlanda
1990,47,01-Jul-1990,Cuartos,,Alemania Occidental,1,0,Checoslovaquia
1990,48,01-Jul-1990,Cuartos,,Camerun,2,3,Inglaterra
1990,49,03-Jul-1990,Semis,,Italia,1,1,Argentina
1990,50,04-Jul-1990,Semis,,Inglaterra,1,1,Alemania Occidental
1990,51,07-Jul-1990,3er Puesto,,Italia,2,1,Inglaterra
1990,52,08-Jul-1990,Final,,Argentina,0,1,Alemania Occidental
