anio,posicion,jugador,goles,partidos,promedio_gol,seleccion
1990,1,Salvatore Schillaci,6,7,0.86,Italia
1990,2,Tomas Skuhravy,5,5,1.0,Checoslovaquia
1990,3,Gary Lineker,4,7,0.57,Inglaterra
1990,3,Lothar Matthaeus,4,7,0.57,Alemania Occidental
1990,3,Michel,4,4,1.0,Espana
1990,3,Roger Milla,4,5,0.8,Camerun
1990,7,Andreas Brehme,3,6,0.5,Alemania Occidental
1990,7,Juergen Klinsmann,3,7,0.43,Alemania Occidental
1990,7,David Platt,3,6,0.5,Inglaterra
1990,7,Rudi Voeller,3,6,0.5,Alemania Occidental
1990,11,Roberto Baggio,2,5,0.4,Italia
1990,11,Gavril Balint,2,4,0.5,Rumania
1990,11,Michal Bilek,2,5,0.4,Checoslovaquia
1990,11,Claudio Caniggia,2,6,0.33,Argentina
1990,11,Careca,2,4,0.5,Brasil
1990,11,Davor Jozic,2,5,0.4,Yugoslavia
1990,11,Marius Lacatus,2,3,0.67,Rumania
1990,11,Muller,2,4,0.5,Brasil
1990,11,Darko Pancev,2,3,0.67,Yugoslavia
1990,11,Bernardo Redin,2,3,0.67,Colombia
1990,11,Dragan Stojkovic,2,5,0.4,Yugoslavia
1990,22,Magdy Abedelghani,1,3,0.33,Egipto
1990,22,Uwe Bein,1,4,0.25,Alemania Occidental
1990,22,Pablo Bengoechea,1,1,1.0,Uruguay
1990,22,Tomas Brolin,1,3,0.33,Suecia
1990,22,Jorge Burruchaga,1,7,0.14,Argentina
1990,22,Paul Caligiuri,1,3,0.33,Estados Unidos
1990,22,Juan Cayasso,1,4,0.25,Costa Rica
1990,22,Jan Ceulemans,1,4,0.25,Belgica
1990,22,Leo Clijsters,1,3,0.33,Belgica
1990,22,Marc De Grijse,1,4,0.25,Belgica
1990,22,Michel De Wolf,1,4,0.25,Belgica
1990,22,Igor Dobrovolskyi,1,3,0.33,URSS
1990,22,Eugene Ekeke,1,1,1.0,Camerun
1990,22,Johnny Ekstrom,1,2,0.5,Suecia
1990,22,Roger Flores,1,4,0.25,Costa Rica
1990,22,Daniel Fonseca,1,2,0.5,Uruguay
1990,22,Giuseppe Giannini,1,7,0.14,Italia
1990,22,Ronald Gonzalez,1,4,0.25,Costa Rica
1990,22,Alberto Gorriz,1,4,0.25,Espana
1990,22,Ruud Gullit,1,4,0.25,Paises Bajos
1990,22,Ivan Hasek,1,5,0.2,Checoslovaquia
1990,22,Bo Kwan Hwang,1,2,0.5,Corea del Sur
1990,22,Mo Johnston,1,3,0.33,Escocia
1990,22,Julio Salinas,1,3,0.33,Espana
1990,22,Ali Thani Jumaa,1,3,0.33,Emiratos Arabes
1990,22,Khalid Ismail,1,2,0.5,Emiratos Arabes
1990,22,Wim Kieft,1,4,0.25,Paises Bajos
1990,22,Ronald Koeman,1,4,0.25,Paises Bajos
1990,22,Lubos Kubik,1,4,0.25,Checoslovaquia
1990,22,Emmanuel Kunde,1,4,0.25,Camerun
1990,22,Pierre Littbarski,1,6,0.17,Alemania Occidental
1990,22,Milan Luhovy,1,1,1.0,Checoslovaquia
1990,22,Stuart Mccall,1,3,0.33,Escocia
1990,22,Hernan Medford,1,3,0.33,Costa Rica
1990,22,Pedro Monzon,1,4,0.25,Argentina
1990,22,Bruce Murray,1,3,0.33,Estados Unidos
1990,22,Andeas Ogris,1,3,0.33,Austria
1990,22,Francois Omam-Biyik,1,5,0.2,Camerun
1990,22,Robert Prosinecki,1,3,0.33,Yugoslavia
1990,22,Oleg Protasov,1,3,0.33,URSS
1990,22,Niall Quinn,1,4,0.25,Irlanda
1990,22,Freddy Rincon,1,4,0.25,Colombia
1990,22,Gerhard Rodax,1,2,0.5,Austria
1990,22,Enzo Scifo,1,4,0.25,Belgica
1990,22,Aldo Serena,1,3,0.33,Italia
1990,22,Kevin Sheedy,1,5,0.2,Irlanda
1990,22,Glenn Stromberg,1,3,0.33,Suecia
1990,22,Safet Susic,1,5,0.2,Yugoslavia
1990,22,Pedro Troglio,1,6,0.17,Argentina
1990,22,Carlos Valderrama,1,4,0.25,Colombia
1990,22,Patrick Vervoort,1,3,0.33,Belgica
1990,22,Mark Wright,1,6,0.17,Inglaterra
1990,22,Aleksandr Zavarov,1,3,0.33,URSS
1990,22,Andrei Zygmantovich,1,2,0.5,URSS
