anio,premio,categoria,ganador
1990,Equipo Ideal,Arquero,Gabelo Conejo
1990,Equipo Ideal,Arquero,Sergio Goycochea
1990,Equipo Ideal,Defensores,Franco Baresi
1990,Equipo Ideal,Defensores,Andreas Brehme
1990,Equipo Ideal,Defensores,Paolo Maldini
1990,Equipo Ideal,Mediocampistas,Paul Gascoigne
1990,Equipo Ideal,Mediocampistas,Diego Maradona
1990,Equipo Ideal,Mediocampistas,Lothar Matthaeus
1990,Equipo Ideal,Mediocampistas,Dragan Stojkovic
1990,Equipo Ideal,Delanteros,Juergen Klinsmann
1990,Equipo Ideal,Delanteros,Roger Milla
1990,Equipo Ideal,Delanteros,Salvatore Schillaci
