anio,posicion,jugador,goles,partidos,promedio_gol,seleccion
1934,1,Oldrich Nejedly,5,4,1.25,Checoslovaquia
1934,2,Edmund Conen,4,4,1.0,Alemania
1934,2,Angelo Schiavio,4,4,1.0,Italia
1934,4,Leopold Kielholz,3,2,1.5,Suiza
1934,4,Raimundo Orsi,3,5,0.6,Italia
1934,6,Abdulrahman Fawzi,2,1,2.0,Egipto
1934,6,Giovanni Ferrari,2,4,0.5,Italia
1934,6,Karl Hohmann,2,2,1.0,Alemania
1934,6,Johann Horvath,2,2,1.0,Austria
1934,6,Iraragorri,2,2,1.0,Espana
1934,6,Sven Jonasson,2,2,1.0,Suecia
1934,6,Ernest Lehner,2,4,0.5,Alemania
1934,6,Giuseppe Meazza,2,5,0.4,Italia
1934,6,Antonin Puc,2,4,0.5,Checoslovaquia
1934,6,Frantisek Svoboda,2,3,0.67,Checoslovaquia
1934,6,Geza Toldi,2,2,1.0,Hungria
1934,6,Bernard Voorhoof,2,1,2.0,Belgica
1934,18,Andre Abegglen,1,2,0.5,Suiza
1934,18,Ernesto Belis,1,1,1.0,Argentina
1934,18,Josef Bican,1,4,0.25,Austria
1934,18,Stefan Dobay,1,1,1.0,Rumania
1934,18,Aldo Donelli,1,1,1.0,Estados Unidos
1934,18,Gosta Dunker,1,2,0.5,Suecia
1934,18,Alberto Galateo,1,1,1.0,Argentina
1934,18,Enrique Guaita,1,4,0.25,Italia
1934,18,Willy Jaeggi,1,1,1.0,Suiza
1934,18,Stanislaus Kobierski,1,3,0.33,Alemania
1934,18,Knut Kroon,1,2,0.5,Suecia
1934,18,Isidro Langara,1,2,0.5,Espana
1934,18,Leonidas,1,1,1.0,Brasil
1934,18,Jean Nicolas,1,1,1.0,Francia
1934,18,Rudolf Noack,1,1,1.0,Alemania
1934,18,Luis Regueiro,1,2,0.5,Espana
1934,18,Gyorgy Sarosi,1,1,1.0,Hungria
1934,18,Toni Schall,1,2,0.5,Austria
1934,18,Karl Sesta,1,4,0.25,Austria
1934,18,Otto Siffling,1,4,0.25,Alemania
1934,18,Matthias Sindelar,1,3,0.33,Austria
1934,18,Kick Smit,1,1,1.0,Paises Bajos
1934,18,Pal Teleki,1,1,1.0,Hungria
1934,18,Leen Vente,1,1,1.0,Paises Bajos
1934,18,Georges Verriest,1,1,1.0,Francia
1934,18,Jeno Vincze,1,1,1.0,Hungria
1934,18,Karl Zischek,1,4,0.25,Austria
