anio,numero_partido,fecha,fase,grupo,seleccion_local,goles_local,goles_visita,seleccion_visita
1934,1,27-May-1934,Octavos,,Alemania,5,2,Belgica
1934,2,27-May-1934,Octavos,,Suecia,3,2,Argentina
1934,3,27-May-1934,Octavos,,Italia,7,1,Estados Unidos
1934,4,27-May-1934,Octavos,,Hungria,4,2,Egipto
1934,5,27-May-1934,Octavos,,Espana,3,1,Brasil
1934,6,27-May-1934,Octavos,,Checoslovaquia,2,1,Rumania
1934,7,27-May-1934,Octavos,,Suiza,3,2,Paises Bajos
1934,8,27-May-1934,Octavos,,Austria,3,2,Francia
1934,9,31-May-1934,Cuartos,,Checoslovaquia,3,2,Suiza
1934,10,31-May-1934,Cuartos,,Austria,2,1,Hungria
1934,11,31-May-1934,Cuartos,,Alemania,2,1,Suecia
1934,12,31-May-1934,Cuartos,,Italia,1,1,Espana
1934,13,01-Jun-1934,Cuartos,,Italia,1,0,Espana
1934,14,03-Jun-1934,Semis,,Checoslovaquia,3,1,Alemania
1934,15,03-Jun-1934,Semis,,Italia,1,0,Austria
1934,16,07-Jun-1934,3er Puesto,,Austria,2,3,Alemania
1934,17,10-Jun-1934,Final,,Italia,2,1,Checoslovaquia
