anio,premio,categoria,ganador
1934,Equipo Ideal,Arquero,Ricardo Zamora
1934,Equipo Ideal,Defensores,Eraldo Monzeglio
1934,Equipo Ideal,Defensores,Quincoces I
1934,Equipo Ideal,Mediocampistas,Cilaurren
1934,Equipo Ideal,Mediocampistas,Attilio Ferraris
1934,Equipo Ideal,Mediocampistas,Luis Monti
1934,Equipo Ideal,Delanteros,Enrique Guaita
1934,Equipo Ideal,Delanteros,Giuseppe Meazza
1934,Equipo Ideal,Delanteros,Oldrich Nejedly
1934,Equipo Ideal,Delanteros,Raimundo Orsi
1934,Equipo Ideal,Delanteros,Matthias Sindelar
