anio,posicion,jugador,goles,partidos,promedio_gol,seleccion
1958,1,Just Fontaine,13,6,2.17,Francia
1958,2,Pele,6,4,1.5,Brasil
1958,2,Helmut Rahn,6,6,1.0,Alemania Occidental
1958,4,Peter Mcparland,5,5,1.0,Irlanda del Norte
1958,4,Vava,5,4,1.25,Brasil
1958,6,Kurt Hamrin,4,5,0.8,Suecia
1958,6,Agne Simonsson,4,5,0.8,Suecia
1958,6,Lajos Tichy,4,4,1.0,Hungria
1958,6,Zdenek Zikan,4,3,1.33,Checoslovaquia
1958,10,Omar Oreste Corbatta,3,3,1.0,Argentina
1958,10,Raymond Kopa,3,6,0.5,Francia
1958,10,Roger Piantoni,3,5,0.6,Francia
1958,10,Hans Schaefer,3,6,0.5,Alemania Occidental
1958,10,Toza Veselinovic,3,4,0.75,Yugoslavia
1958,15,Juan Aguero,2,3,0.67,Paraguay
1958,15,Ivor Allchurch,2,5,0.4,Gales
1958,15,Jose Altafini,2,3,0.67,Brasil
1958,15,Florencio Amarilla,2,3,0.67,Paraguay
1958,15,Milan Dvorak,2,4,0.5,Checoslovaquia
1958,15,Vaclav Hovorka,2,3,0.67,Checoslovaquia
1958,15,Anatoli Ilyin,2,5,0.4,URSS
1958,15,Derek Kevan,2,4,0.5,Inglaterra
1958,15,Nils Liedholm,2,5,0.4,Suecia
1958,15,Jose Parodi,2,3,0.67,Paraguay
1958,15,Aleksandar Petakovic,2,4,0.5,Yugoslavia
1958,15,Jorge Romero,2,3,0.67,Paraguay
1958,15,Uwe Seeler,2,5,0.4,Alemania Occidental
1958,15,Maryan Wisnieski,2,6,0.33,Francia
1958,29,Ludovico Avio,1,2,0.5,Argentina
1958,29,Sammy Baird,1,1,1.0,Escocia
1958,29,Jaime Belmonte,1,2,0.5,Mexico
1958,29,Jozsef Bencsis,1,2,0.5,Hungria
1958,29,Jozsef Bozsik,1,3,0.33,Hungria
1958,29,John Charles,1,4,0.25,Gales
1958,29,Hans Ciesclarczyk,1,2,0.5,Alemania Occidental
1958,29,Bobby Collins,1,3,0.33,Escocia
1958,29,Wilbur Cush,1,5,0.2,Irlanda del Norte
1958,29,Didi,1,6,0.17,Brasil
1958,29,Yvon Douis,1,1,1.0,Francia
1958,29,Jiri Feureisl,1,3,0.33,Checoslovaquia
1958,29,Tom Finney,1,1,1.0,Inglaterra
1958,29,Gunnar Gren,1,5,0.2,Suecia
1958,29,John Haynes,1,4,0.25,Inglaterra
1958,29,Aleksandr Ivanov,1,4,0.25,URSS
1958,29,Valentin Ivanov,1,5,0.2,URSS
1958,29,Alfred Koerner,1,3,0.33,Austria
1958,29,Karl Koller,1,3,0.33,Austria
1958,29,Terry Medwin,1,4,0.25,Gales
1958,29,Norberto Menendez,1,3,0.33,Argentina
1958,29,Jackie Mudie,1,3,0.33,Escocia
1958,29,Jimmy Murray,1,2,0.5,Escocia
1958,29,Nilton Santos,1,6,0.17,Brasil
1958,29,Radivoje Ognjanovic,1,2,0.5,Yugoslavia
1958,29,Zdravko Rajkov,1,4,0.25,Yugoslavia
1958,29,Cayetano Re,1,3,0.33,Paraguay
1958,29,Karoly Sandor,1,3,0.33,Hungria
1958,29,Nikita Simonyan,1,5,0.2,URSS
1958,29,Lennart Skoglund,1,6,0.17,Suecia
1958,29,Jean Vincent,1,6,0.17,Francia
1958,29,Zagallo,1,6,0.17,Brasil
