anio,fase,grupo,seleccion
1994,1ra Ronda,A,Colombia
1994,1ra Ronda,A,Estados Unidos
1994,1ra Ronda,A,Rumania
1994,1ra Ronda,A,Suiza
1994,1ra Ronda,B,Brasil
1994,1ra Ronda,B,Camerun
1994,1ra Ronda,B,Rusia
1994,1ra Ronda,B,Suecia
1994,1ra Ronda,C,Alemania
1994,1ra Ronda,C,Bolivia
1994,1ra Ronda,C,Corea del Sur
1994,1ra Ronda,C,Espana
1994,1ra Ronda,D,Argentina
1994,1ra Ronda,D,Bulgaria
1994,1ra Ronda,D,Grecia
1994,1ra Ronda,D,Nigeria
1994,1ra Ronda,E,Irlanda
1994,1ra Ronda,E,Italia
1994,1ra Ronda,E,Mexico
1994,1ra Ronda,E,Noruega
1994,1ra Ronda,F,Arabia Saudita
1994,1ra Ronda,F,Belgica
1994,1ra Ronda,F,Marruecos
1994,1ra Ronda,F,Paises Bajos
