anio,premio,categoria,ganador
1994,Equipo Ideal,Arquero,Michel Preudhomme
1994,Equipo Ideal,Defensores,Jorginho
1994,Equipo Ideal,Defensores,Paolo Maldini
1994,Equipo Ideal,Defensores,Marcio Santos
1994,Equipo Ideal,Mediocampistas,Krassimir Balakov
1994,Equipo Ideal,Mediocampistas,Tomas Brolin
1994,Equipo Ideal,Mediocampistas,Dunga
1994,Equipo Ideal,Mediocampistas,Gheorghe Hagi
1994,Equipo Ideal,Delanteros,Roberto Baggio
1994,Equipo Ideal,Delanteros,Romario
1994,Equipo Ideal,Delanteros,Hristo Stoichkov
