anio,premio,categoria,ganador
2018,Equipo Ideal,Arquero,Thibaut Courtois
2018,Equipo Ideal,Defensores,Diego Godin
2018,Equipo Ideal,Defensores,Marcelo
2018,Equipo Ideal,Defensores,Thiago Silva
2018,Equipo Ideal,Defensores,Raphael Varane
2018,Equipo Ideal,Mediocampistas,Kevin De Bruyne
2018,Equipo Ideal,Mediocampistas,Luka Modric
2018,Equipo Ideal,Mediocampistas,Philippe Coutinho
2018,Equipo Ideal,Delanteros,Harry Kane
2018,Equipo Ideal,Delanteros,Kylian Mbappe
2018,Equipo Ideal,Delanteros,Cristiano Ronaldo
