anio,fase,grupo,seleccion
2018,1ra Ronda,A,Arabia Saudita
2018,1ra Ronda,A,Egipto
2018,1ra Ronda,A,Rusia
2018,1ra Ronda,A,Uruguay
2018,1ra Ronda,B,Espana
2018,1ra Ronda,B,Iran
2018,1ra Ronda,B,Marruecos
2018,1ra Ronda,B,Portugal
2018,1ra Ronda,C,Australia
2018,1ra Ronda,C,Dinamarca
2018,1ra Ronda,C,Francia
2018,1ra Ronda,C,Peru
2018,1ra Ronda,D,Argentina
2018,1ra Ronda,D,Croacia
2018,1ra Ronda,D,Islandia
2018,1ra Ronda,D,Nigeria
2018,1ra Ronda,E,Brasil
2018,1ra Ronda,E,Costa Rica
2018,1ra Ronda,E,Serbia
2018,1ra Ronda,E,Suiza
2018,1ra Ronda,F,Alemania
2018,1ra Ronda,F,Corea del Sur
2018,1ra Ronda,F,Mexico
2018,1ra Ronda,F,Suecia
2018,1ra Ronda,G,Belgica
2018,1ra Ronda,G,Inglaterra
2018,1ra Ronda,G,Panama
2018,1ra Ronda,G,Tunez
2018,1ra Ronda,H,Colombia
2018,1ra Ronda,H,Japon
2018,1ra Ronda,H,Polonia
2018,1ra Ronda,H,Senegal
